,n_rejected,unp_rank,walltimes,workertimes,n_reused,generations,grad_norm,param_norm,baseline_mu,baseline_sigma,sigma,beta,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
95,0,5,3266.380256175995,29.786169052124023,0,95,2.1321957,137.80115,0.0,0.0,0.049864117,-6.003412,1.0,1.0,0.0,240.0,155.4,1598.8400000000004,15540.0,220.0,,717,1000,984.84,2673.4943999999987,98484,1000,
96,0,16,3300.927886724472,29.24985361099243,0,96,2.13171,138.0883,0.0,0.0,0.049824044,-6.003412,1.0,1.0,0.0,260.0,154.6,1726.84,15460.0,180.0,,674,1000,978.63,4096.5731000000005,97863,848,
97,0,30,3335.2107129096985,29.42271590232849,0,97,2.1316986,138.3671,0.0,0.0,0.049768176,-6.003412,1.0,1.0,20.0,240.0,156.6,1592.44,15660.0,160.0,,578,1000,984.05,3339.7075,98405,803,
98,0,6,3369.42919754982,29.373078107833862,0,98,2.1311207,138.64062,0.0,0.0,0.04970311,-6.003412,1.0,1.0,100.0,260.0,155.6,1524.6399999999994,15560.0,220.0,,705,1000,983.94,2436.3364000000006,98394,1000,
99,0,33,3404.4898421764374,29.77187752723694,0,99,2.1323497,138.91118,0.0,0.0,0.049615838,-6.003412,1.0,1.0,100.0,260.0,164.4,1508.6399999999994,16440.0,160.0,,774,1000,993.1,715.2100000000002,99310,879,
100,0,75,3439.450382709503,29.954630851745605,0,100,2.1333218,139.17471,0.0,0.0,0.049585473,-6.003412,1.0,1.0,0.0,260.0,160.0,1832.0,16000.0,140.0,,837,1000,993.52,657.1895999999998,99352,816,
101,0,3,3474.3172841072083,30.07177186012268,0,101,2.1324565,139.43292,0.0,0.0,0.049573816,-6.003412,1.0,1.0,0.0,260.0,157.6,1634.2400000000007,15760.0,220.0,,732,1000,990.26,1233.8924,99026,1000,
102,0,3,3508.2261962890625,28.57438373565674,0,102,2.1308632,139.68254,0.0,0.0,0.04957162,-6.003412,1.0,1.0,20.0,240.0,155.4,2078.84,15540.0,220.0,,561,1000,975.47,5616.069099999998,97547,992,
103,0,10,3542.539754152298,29.06948184967041,0,103,2.13299,139.92609,0.0,0.0,0.04957871,-6.003412,1.0,1.0,0.0,260.0,158.6,1626.0399999999995,15860.0,200.0,,795,1000,984.21,1810.6659,98421,911,
104,0,71,3576.550591945648,28.8843834400177,0,104,2.1335945,140.16808,0.0,0.0,0.049611393,-6.003412,1.0,1.0,80.0,240.0,155.0,1323.0,15500.0,140.0,,793,1000,989.8,1418.7600000000002,98980,750,
