,param_norm,unp_rank,grad_norm,n_reused,workertimes,walltimes,n_rejected,generations,baseline_mu,baseline_sigma,sigma_avg,beta_avg,sigma_min,beta_min,sigma_max,beta_max,sigma_med,beta_med,sigma_std,beta_std,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
47,147.13292,14,49.888527,0,28.403874158859253,3228.519786596298,0,47,140.60220336914062,281.2611389160156,0.05000509,-5.991261005401611,0.04965571,-6.005283832550049,0.050335452,-5.978091239929199,0.050000045,-5.991462707519531,6.088065e-05,0.0024707394,0.05,0.05,0.0,200.0,140.6,2211.6399999999994,14060.0,160.0,,386,1000,959.32,10083.2176,95932,1000,
48,149.14665,14,49.90838,0,27.857948541641235,3295.318549156189,0,48,149.3993682861328,298.79840087890625,0.050004918,-5.991267681121826,0.049646404,-6.0056586265563965,0.050341167,-5.9778642654418945,0.050000094,-5.991460800170898,6.1768784e-05,0.0025058335,0.05,0.05,20.0,240.0,149.4,1091.64,14940.0,160.0,,473,1000,958.61,8280.217900000001,95861,1000,
49,151.13446,13,49.872066,0,28.48453664779663,3362.7567760944366,0,49,143.4016571044922,286.8148193359375,0.05000478,-5.991273403167725,0.0496385,-6.005977153778076,0.050346892,-5.977636814117432,0.050000105,-5.99146032333374,6.264608e-05,0.002540553,0.05,0.05,0.0,220.0,143.4,1784.44,14340.0,160.0,,515,1000,941.43,10773.3251,94143,1000,
50,153.09709,14,49.895138,0,29.091025829315186,3430.884816646576,0,50,149.59397888183594,299.2182312011719,0.050004642,-5.991278648376465,0.049630947,-6.00628137588501,0.05035365,-5.977368354797363,0.050000094,-5.991460800170898,6.3514024e-05,0.0025748485,0.05,0.05,0.0,200.0,149.6,1107.84,14960.0,160.0,,550,1000,972.76,4947.2624,97276,1000,
51,155.03192,13,49.895283,0,29.482885360717773,3499.4337849617004,0,51,146.19798278808594,292.40814208984375,0.050004482,-5.99128532409668,0.04962503,-6.006519794464111,0.05035851,-5.977175235748291,0.050000105,-5.99146032333374,6.4371365e-05,0.0026087381,0.05,0.05,0.0,220.0,146.2,1245.5600000000004,14620.0,160.0,,738,1000,972.43,2980.7651,97243,1000,
52,156.94089,15,49.868202,0,29.458195686340332,3567.9530789852142,0,52,151.9961700439453,303.92938232421875,0.05000431,-5.9912919998168945,0.049620904,-6.006686210632324,0.05036238,-5.97702169418335,0.050000105,-5.99146032333374,6.521856e-05,0.0026422362,0.05,0.05,0.0,240.0,152.0,1208.0,15200.0,160.0,,551,1000,969.63,5948.793099999999,96963,1000,
53,158.8305,16,49.887054,0,28.380035877227783,3635.895891189575,0,53,145.79530334472656,291.5617370605469,0.050004147,-5.991298675537109,0.049616218,-6.006875038146973,0.05036387,-5.976962566375732,0.050000094,-5.991460800170898,6.605596e-05,0.0026753547,0.05,0.05,0.0,220.0,145.8,1922.36,14580.0,160.0,,528,1000,958.69,8218.0939,95869,1000,
54,160.69617,15,49.87668,0,27.67916178703308,3702.75457906723,0,54,143.79713439941406,287.47760009765625,0.05000402,-5.99130392074585,0.049612302,-6.007032871246338,0.050366424,-5.976861000061035,0.050000105,-5.99146032333374,6.6883884e-05,0.0027080718,0.05,0.05,0.0,240.0,143.8,2173.56,14380.0,160.0,,569,1000,959.58,7718.8636,95958,1000,
55,162.54137,18,49.850975,0,28.547398328781128,3771.037735939026,0,55,150.58981323242188,301.2058410644531,0.05000387,-5.991309642791748,0.049607392,-6.007230758666992,0.050367866,-5.976803779602051,0.05000012,-5.991459846496582,6.7701774e-05,0.0027404837,0.05,0.05,0.0,240.0,150.6,1499.6399999999996,15060.0,160.0,,589,1000,978.51,3505.8299000000006,97851,1000,
56,164.36626,21,49.84542,0,28.970715761184692,3839.358687400818,0,56,143.60105895996094,287.3934631347656,0.05000371,-5.991316318511963,0.049603764,-6.0073771476745605,0.050370317,-5.976706504821777,0.050000142,-5.991458892822266,6.851204e-05,0.0027725736,0.05,0.05,0.0,240.0,143.6,2947.0400000000004,14360.0,160.0,,573,1000,965.79,6444.225899999999,96579,1000,
57,166.16882,5,49.87314,0,27.32255721092224,3905.8344407081604,0,57,142.79605102539062,285.5296325683594,0.050003573,-5.991321563720703,0.049601197,-6.007480621337891,0.05037238,-5.976624488830566,0.050000153,-5.991458415985107,6.931425e-05,0.0028043024,0.05,0.05,0.0,240.0,142.8,2176.16,14280.0,180.0,,731,1000,954.12,7279.5056,95412,1000,
58,167.9506,18,49.888557,0,28.32998299598694,3973.5333659648895,0,58,142.00128173828125,284.02484130859375,0.050003447,-5.991326808929443,0.049599256,-6.007558822631836,0.050374977,-5.9765214920043945,0.050000153,-5.991458415985107,7.010743e-05,0.0028356756,0.05,0.05,0.0,220.0,142.0,2060.0,14200.0,160.0,,492,1000,956.15,9686.527500000002,95615,1000,
59,169.71106,25,49.842625,0,28.85057783126831,4041.4276130199432,0,59,148.2091064453125,296.38916015625,0.05000333,-5.991331100463867,0.049597852,-6.007615566253662,0.05037769,-5.976413726806641,0.050000176,-5.991457462310791,7.089173e-05,0.002866703,0.05,0.05,20.0,240.0,148.2,1664.76,14820.0,160.0,,725,1000,972.35,4015.087500000001,97235,1000,
60,171.45128,19,49.922535,0,27.792632579803467,4108.2447209358215,0,60,139.1986083984375,278.4393615722656,0.05000322,-5.991335868835449,0.04959721,-6.007641315460205,0.050380502,-5.976302146911621,0.050000176,-5.991457462310791,7.166739e-05,0.0028973646,0.05,0.05,0.0,220.0,139.2,2703.36,13920.0,160.0,,496,1000,960.01,9970.3299,96001,1000,
61,173.1737,21,49.90466,0,27.781158447265625,4175.177273750305,0,61,149.59609985351562,299.26116943359375,0.05000312,-5.991339683532715,0.04959669,-6.007662296295166,0.050382566,-5.97622013092041,0.050000202,-5.991456508636475,7.243389e-05,0.0029277673,0.05,0.05,0.0,240.0,149.6,2203.84,14960.0,160.0,,401,1000,965.61,10103.6379,96561,1000,
62,174.87721,16,49.86626,0,29.3138484954834,4243.660315513611,0,62,146.99888610839844,294.0054931640625,0.050003003,-5.991344451904297,0.049595688,-6.007702827453613,0.050384883,-5.976128101348877,0.050000202,-5.991456508636475,7.3193936e-05,0.002957876,0.05,0.05,0.0,240.0,147.0,1731.0,14700.0,160.0,,358,1000,965.96,8140.278400000002,96596,1000,
63,176.56349,25,49.854126,0,28.717370748519897,4311.942859172821,0,63,149.99668884277344,300.1003723144531,0.050002914,-5.991347789764404,0.049594764,-6.007740020751953,0.050388888,-5.975969314575195,0.050000187,-5.991456985473633,7.3946634e-05,0.0029876402,0.05,0.05,0.0,240.0,150.0,1596.0,15000.0,160.0,,735,1000,972.47,3506.6291,97247,1000,
