,param_norm,walltimes,n_reused,unp_rank,n_rejected,grad_norm,workertimes,generations,baseline_mu,baseline_sigma,sigma,beta,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
87,1985.6462,3273.6618778705597,0,39,0,632.42267,29.294907569885254,87,166.5991668701172,166.59791564941406,0.0035156065,-12.0465,0.05,0.05,120.0,180.0,166.6,144.44,16660.0,160.0,,860,1000,984.42,457.4835999999999,98442,984,
88,2020.1466,3312.566299200058,0,2,0,1882.7123,29.496772527694702,88,160.20010375976562,160.2002410888672,0.0035593193,-12.0465,0.05,0.05,160.0,180.0,160.2,3.960000000000002,16020.0,160.0,,964,997,981.73,52.897100000000016,98173,974,
89,2056.8413,3351.4988877773285,0,80,0,672.1372,29.391698360443115,89,187.19798278808594,187.1970977783203,0.0034720267,-12.0465,0.05,0.05,120.0,260.0,187.2,732.1599999999999,18720.0,160.0,,806,1000,983.49,1191.8899000000001,98349,1000,
90,2094.7483,3389.0188167095184,0,1,0,733.96063,28.190274238586426,90,119.99512481689453,119.99229431152344,0.0033967246,-12.0465,0.05,0.05,60.0,200.0,120.0,816.0,12000.0,200.0,,759,1000,956.35,5970.9275,95635,1000,
91,2133.1165,3427.5543859004974,0,67,0,681.3356,29.092831134796143,91,105.60020446777344,105.60189056396484,0.0032915433,-12.0465,0.05,0.05,40.0,200.0,105.6,864.64,10560.0,80.0,,743,1000,975.73,3633.2371,97573,1000,
92,2171.4314,3463.4730865955353,0,22,0,683.0039,26.542599201202393,92,124.19795227050781,124.19378662109375,0.0031996653,-12.0465,0.05,0.05,60.0,200.0,124.2,738.36,12420.0,140.0,,663,1000,902.76,9965.1224,90276,911,
93,2209.4006,3501.8584110736847,0,78,0,807.70123,29.09445881843567,93,157.39935302734375,157.3990936279297,0.003087004,-12.0465,0.05,0.05,140.0,200.0,157.4,133.24,15740.0,140.0,,839,1000,976.48,1766.1096,97648,1000,
94,2246.8215,3541.44797539711,0,27,0,724.55084,29.83198642730713,94,165.2001953125,165.20013427734375,0.0029693542,-12.0465,0.05,0.05,160.0,180.0,165.2,76.96,16520.0,160.0,,865,1000,997.05,351.2274999999999,99705,1000,
95,2283.5867,3580.6169245243073,0,31,0,739.4611,29.739014148712158,95,166.00047302246094,166.0016326904297,0.002878326,-12.0465,0.05,0.05,160.0,180.0,166.0,84.0,16600.0,160.0,,1000,1000,1000.0,0.0,100000,1000,
96,2319.5476,3620.576316833496,0,28,0,763.8333,30.41534161567688,96,165.40011596679688,165.40065002441406,0.0028020588,-12.0465,0.05,0.05,160.0,180.0,165.4,78.84,16540.0,160.0,,1000,1000,1000.0,0.0,100000,1000,
97,2354.9102,3659.9076375961304,0,15,0,1030.7683,29.884069681167603,97,162.79940795898438,162.7991943359375,0.0027241467,-12.0465,0.05,0.05,160.0,180.0,162.8,48.16000000000002,16280.0,160.0,,1000,1000,1000.0,0.0,100000,1000,
98,2390.371,3699.447337627411,0,12,0,1218.3339,30.1405246257782,98,162.19947814941406,162.1991424560547,0.0026305702,-12.0465,0.05,0.05,160.0,180.0,162.2,39.16000000000001,16220.0,160.0,,1000,1000,1000.0,0.0,100000,1000,
99,2426.329,3739.0031158924103,0,16,0,1072.1478,30.24221444129944,99,162.59967041015625,162.59925842285156,0.0025225636,-12.0465,0.05,0.05,140.0,180.0,162.6,61.240000000000016,16260.0,160.0,,971,1000,999.71,8.325900000000004,99971,1000,
